Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C15, C2, C5, C7",0402,5,1u,C52923
"C10, C13",0402,2,10n,C15195
"C11, C12, C14, C9",0402,4,1n,C1523
"C16, C17, C20, C21, C23, C25, C27, C28, C8",0603,9,10u,C96446
C18,0402,1,100pf,C1546
"C19, C22, C24, C26, C3, C4",0402,6,100n,C1525
C6,0402,1,4n7,C1538
D1,0805,1,RED,C84256
FB5,0805,1,Ferrite Bead,C1017
"J1, J2",PinHeader_1x05_P2.54mm_Vertical,2,Conn_01x05_Pin,DNP
J3,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x03_Pin,DNP
J4,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_Pin,DNP
L1,1210,1,1uH,C703782
"R1, R16, R2, R23, R24, R25, R3, R4, R5, R6",0402,10,51K,C25794
"R10, R12, R14, R17, R18, R19, R20, R8",0402,8,47R,C25118
R11,0402,1,536K,C327337
R13,0402,1,150K,C25755
R15,0402,1,5K1,C25905
R21,0805,1,0R,C17477
"R26, R28, R29, R30",0402,4,100R,C25076
R9,0402,1,20K,C25765
"U1, U3, U4",Diodes_UDFN-10_1.0x2.5mm_P0.5mm,3,ESD5344D-TP,C2841840
U2,RHB0032E,1,ADS1261IRHBR,DNP
U5,SOT-23-5,1,TPS7A2050PDBVR,DNP
U6,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,1,TPS61252DSG,C128617
U7,SOT-23-3,1,XC6206P332MR,C5446
