Designator,Mid X,Mid Y,Rotation,Layer
C1,14.5746,1.8366,180.0,top
C10,11.2856,6.7642,270.0,top
C11,10.2696,6.7642,270.0,top
C12,10.2696,4.4782,270.0,top
C13,11.2856,4.4782,270.0,top
C14,9.2536,4.4782,270.0,top
C15,9.45,1.77,90.0,top
C16,22.466,24.371,0.0,top
C17,7.4769,16.891,90.0,top
C18,19.304,21.323,90.0,top
C19,23.015,23.101,0.0,top
C2,18.4484,11.5902,0.0,top
C20,20.1168,23.8884,270.0,top
C21,13.6311,17.399,180.0,top
C22,10.3161,13.843,0.0,top
C23,13.6311,15.6464,180.0,top
C24,23.7998,14.9414,270.0,top
C25,25.0698,15.4494,270.0,top
C26,19.2278,14.9414,90.0,top
C27,17.8308,15.4494,90.0,top
C28,18.4658,23.8884,270.0,top
C3,15.2226,3.0812,180.0,top
C4,17.8896,10.3202,0.0,top
C5,13.6986,11.0822,270.0,top
C6,13.2896,3.0812,180.0,top
C7,19.717603,8.9486,90.0,top
C8,16.8736,2.0652,270.0,top
C9,9.2536,6.7642,270.0,top
D1,3.556,24.638,270.0,top
FB5,12.1412,21.3868,270.0,top
J1,32.48,15.19,180.0,top
J2,32.48,2.49,180.0,top
J3,12.16,25.35,90.0,top
J4,2.0,2.49,180.0,top
L1,25.808,22.336,270.0,top
R1,15.756,11.0842,90.0,top
R10,28.3972,11.7114,270.0,top
R11,20.32,21.323,270.0,top
R12,27.3812,11.7114,270.0,top
R13,19.812,19.799,0.0,top
R14,26.3652,11.682,270.0,top
R15,5.461,24.384,270.0,top
R16,26.3652,9.65,90.0,top
R17,24.010803,6.1038,180.0,top
R18,24.010803,5.037,180.0,top
R19,24.012803,3.9702,180.0,top
R2,11.45,1.8,270.0,top
R20,24.012803,2.8526,180.0,top
R21,9.144,21.4376,270.0,top
R23,22.029603,2.8526,0.0,top
R24,22.029603,3.9702,0.0,top
R25,22.027603,6.1038,0.0,top
R26,7.7804,7.2722,0.0,top
R28,7.7804,6.2562,0.0,top
R29,7.7784,4.9862,0.0,top
R3,14.74,11.0822,270.0,top
R30,7.7804,3.9194,0.0,top
R4,29.4132,9.6794,270.0,top
R5,27.432,9.6794,270.0,top
R6,10.45,1.8,90.0,top
R7,25.781,19.304,0.0,top
R8,29.4132,11.7114,270.0,top
R9,22.098,19.291,0.0,top
U1,29.2805,18.55,0.0,top
U2,15.6476,6.754197,90.0,top
U3,26.3224,4.4434,180.0,top
U4,5.5001,5.537,180.0,top
U5,10.2227,16.6624,270.0,top
U6,22.508,21.298,270.0,top
U7,21.5138,15.1954,90.0,top
