Designator,Mid X,Mid Y,Rotation,Layer
C1,36.068,70.7305,270.0,top
C10,-6.731,28.067,90.0,top
C11,-1.524,52.819,270.0,top
C12,-0.254,52.832,270.0,top
C13,25.3492,61.976,270.0,top
C14,2.286,54.61,0.0,top
C15,2.553,55.88,0.0,top
C16,-14.478,31.623,180.0,top
C17,-18.161,28.067,90.0,top
C18,13.97,24.003,90.0,top
C19,13.97,18.062,90.0,top
C2,-10.541,31.623,0.0,top
C20,-12.459,14.986,180.0,top
C21,7.366,17.145,90.0,top
C22,-12.446,13.716,180.0,top
C23,5.842,17.145,90.0,top
C24,3.048,14.605,180.0,top
C25,3.048,13.208,180.0,top
C26,38.8874,44.4754,90.0,top
C27,37.4904,44.9834,90.0,top
C28,32.1564,45.1104,90.0,top
C29,30.8864,45.1104,90.0,top
C3,25.273,70.076,270.0,top
C35,20.574,24.003,90.0,top
C36,2.794,49.784,0.0,top
C37,17.9832,60.96,90.0,top
C4,37.338,62.23,90.0,top
C5,21.59,67.437,0.0,top
C6,33.528,58.547,0.0,top
C7,17.8562,70.4088,270.0,top
C8,29.718,62.992,90.0,top
C9,30.861,69.723,270.0,top
D1,-11.557,85.852,270.0,top
D2,-14.224,85.852,270.0,top
D3,-16.891,85.8265,270.0,top
D4,3.2004,85.8266,270.0,top
D5,5.9436,85.852,270.0,top
J1,17.653,76.987,180.0,top
J2,37.211,76.987,180.0,top
R10,34.6225,67.8375,180.0,top
R11,5.207,55.88,180.0,top
R12,10.033,77.089,180.0,top
R13,-15.24,34.925,90.0,top
R14,-11.176,34.925,90.0,top
R18,14.605,59.309,0.0,top
R19,14.605,63.373,0.0,top
R2,27.432,82.169,90.0,top
R20,14.605,61.341,0.0,top
R21,24.892,58.7248,0.0,top
R22,24.892,56.1086,0.0,top
R23,10.033,13.972,90.0,top
R24,11.557,13.972,90.0,top
R25,-4.064,18.034,180.0,top
R3,16.256,74.295,180.0,top
R4,18.923,74.295,0.0,top
R5,-9.525,56.7436,90.0,top
R6,32.766,73.658,270.0,top
R7,-15.24,56.7436,90.0,top
R8,38.862,47.117,270.0,top
R9,32.4635,67.8375,0.0,top
TP1,-4.064,82.042,0.0,top
TP10,9.779,53.34,0.0,top
TP11,-15.24,39.37,0.0,top
TP12,32.004,13.462,0.0,top
TP13,24.892,13.462,0.0,top
TP14,38.7858,51.4858,0.0,top
TP2,14.097,71.6788,0.0,top
TP3,38.735,72.8218,0.0,top
TP4,27.9146,72.8218,0.0,top
TP5,-4.064,13.462,0.0,top
TP6,25.2476,66.7766,0.0,top
TP7,32.2326,54.9148,0.0,top
TP9,-6.35,39.37,0.0,top
U1,33.4815,70.2505,0.0,top
U11,4.334,9.508,90.0,top
U12,-9.271,9.542,90.0,top
U13,3.048,17.158,0.0,top
U15,34.8234,44.6024,180.0,top
U2,-12.446,22.987,90.0,top
U3,21.59,70.231,0.0,top
U5,2.286,52.324,180.0,top
U6,33.528,61.341,0.0,top
U8,21.6705,61.4045,270.0,top
U9,17.272,21.082,0.0,top
